,iati_identifier,reporting_org_narrative,title_narrative,description_narrative,participating_org_narrative,contact_info_organisation_narrative,recipient_country_code,sector_code,sector,sector_narrative,transaction_transaction_type_code,transaction_transaction_date_iso_date,transaction_value,default_currency,transaction_description_narrative,transaction_provider_org_ref,transaction_provider_org_narrative,year,month,day
1968,NL-KVK-83517626-ORIO10NE21,Invest International,Extension of the existing water supply system in Niamey (Development Phase),The capacity of the raw water intake in the Niger River has to be increased by rehabilitating a currently abandoned raw water intake. Next to the construction works for the new water treatment plant (Goudel IV). Additions will be made to the existing pre-treatment facility and pumping station including a new disinfection contact chamber for disinfection and pH correction. A new chemical building new high lift pumps and a new emergency generator.The drinking water transmission and distribution network has been expanded many times and has a somewhat erratic layout. A distinction can be made between transmission pipes and distribution pipes. In general  water is transported through transmission pipes to reservoirs spread through the city from the pumping stations at the treatment plants.Distribution pipes are connected to the reservoirs from where drinking water is supplied to customers. Especially in the older parts distribution pipes are also directly connected to the transmission pipes. The existing network will be improved and extended with additional transmission pipes  reservoirs  distribution pipes  individual connections and stand pipes.,"Witteveen+Bos Raadgevende Ingenieurs B.V.,SGI Ingénierie SA,DENYS,Societe De Patrimoine des Eaux Du Niger,Ministere Du Plan,Invest International,Invest International",,NE,14021,Water supply - large systems,,3,2015-02-06T00:00:00Z,31515,EUR,,,,2015,2,6
1969,NL-KVK-83517626-ORIO10NE21,Invest International,Extension of the existing water supply system in Niamey (Development Phase),The capacity of the raw water intake in the Niger River has to be increased by rehabilitating a currently abandoned raw water intake. Next to the construction works for the new water treatment plant (Goudel IV). Additions will be made to the existing pre-treatment facility and pumping station including a new disinfection contact chamber for disinfection and pH correction. A new chemical building new high lift pumps and a new emergency generator.The drinking water transmission and distribution network has been expanded many times and has a somewhat erratic layout. A distinction can be made between transmission pipes and distribution pipes. In general  water is transported through transmission pipes to reservoirs spread through the city from the pumping stations at the treatment plants.Distribution pipes are connected to the reservoirs from where drinking water is supplied to customers. Especially in the older parts distribution pipes are also directly connected to the transmission pipes. The existing network will be improved and extended with additional transmission pipes  reservoirs  distribution pipes  individual connections and stand pipes.,"Witteveen+Bos Raadgevende Ingenieurs B.V.,SGI Ingénierie SA,DENYS,Societe De Patrimoine des Eaux Du Niger,Ministere Du Plan,Invest International,Invest International",,NE,14021,Water supply - large systems,,2,2015-02-04T00:00:00Z,-11050,EUR,,,,2015,2,4
1970,NL-KVK-83517626-ORIO10NE21,Invest International,Extension of the existing water supply system in Niamey (Development Phase),The capacity of the raw water intake in the Niger River has to be increased by rehabilitating a currently abandoned raw water intake. Next to the construction works for the new water treatment plant (Goudel IV). Additions will be made to the existing pre-treatment facility and pumping station including a new disinfection contact chamber for disinfection and pH correction. A new chemical building new high lift pumps and a new emergency generator.The drinking water transmission and distribution network has been expanded many times and has a somewhat erratic layout. A distinction can be made between transmission pipes and distribution pipes. In general  water is transported through transmission pipes to reservoirs spread through the city from the pumping stations at the treatment plants.Distribution pipes are connected to the reservoirs from where drinking water is supplied to customers. Especially in the older parts distribution pipes are also directly connected to the transmission pipes. The existing network will be improved and extended with additional transmission pipes  reservoirs  distribution pipes  individual connections and stand pipes.,"Witteveen+Bos Raadgevende Ingenieurs B.V.,SGI Ingénierie SA,DENYS,Societe De Patrimoine des Eaux Du Niger,Ministere Du Plan,Invest International,Invest International",,NE,14021,Water supply - large systems,,3,2014-06-09T00:00:00Z,99275,EUR,,,,2014,6,9
1972,NL-KVK-83517626-ORIO10NE21,Invest International,Extension of the existing water supply system in Niamey (Development Phase),The capacity of the raw water intake in the Niger River has to be increased by rehabilitating a currently abandoned raw water intake. Next to the construction works for the new water treatment plant (Goudel IV). Additions will be made to the existing pre-treatment facility and pumping station including a new disinfection contact chamber for disinfection and pH correction. A new chemical building new high lift pumps and a new emergency generator.The drinking water transmission and distribution network has been expanded many times and has a somewhat erratic layout. A distinction can be made between transmission pipes and distribution pipes. In general  water is transported through transmission pipes to reservoirs spread through the city from the pumping stations at the treatment plants.Distribution pipes are connected to the reservoirs from where drinking water is supplied to customers. Especially in the older parts distribution pipes are also directly connected to the transmission pipes. The existing network will be improved and extended with additional transmission pipes  reservoirs  distribution pipes  individual connections and stand pipes.,"Witteveen+Bos Raadgevende Ingenieurs B.V.,SGI Ingénierie SA,DENYS,Societe De Patrimoine des Eaux Du Niger,Ministere Du Plan,Invest International,Invest International",,NE,14021,Water supply - large systems,,3,2014-04-09T00:00:00Z,113460,EUR,,,,2014,4,9
1973,NL-KVK-83517626-ORIO10NE21,Invest International,Extension of the existing water supply system in Niamey (Development Phase),The capacity of the raw water intake in the Niger River has to be increased by rehabilitating a currently abandoned raw water intake. Next to the construction works for the new water treatment plant (Goudel IV). Additions will be made to the existing pre-treatment facility and pumping station including a new disinfection contact chamber for disinfection and pH correction. A new chemical building new high lift pumps and a new emergency generator.The drinking water transmission and distribution network has been expanded many times and has a somewhat erratic layout. A distinction can be made between transmission pipes and distribution pipes. In general  water is transported through transmission pipes to reservoirs spread through the city from the pumping stations at the treatment plants.Distribution pipes are connected to the reservoirs from where drinking water is supplied to customers. Especially in the older parts distribution pipes are also directly connected to the transmission pipes. The existing network will be improved and extended with additional transmission pipes  reservoirs  distribution pipes  individual connections and stand pipes.,"Witteveen+Bos Raadgevende Ingenieurs B.V.,SGI Ingénierie SA,DENYS,Societe De Patrimoine des Eaux Du Niger,Ministere Du Plan,Invest International,Invest International",,NE,14021,Water supply - large systems,,3,2013-11-18T00:00:00Z,142973,EUR,,,,2013,11,18
1974,NL-KVK-83517626-ORIO10NE21,Invest International,Extension of the existing water supply system in Niamey (Development Phase),The capacity of the raw water intake in the Niger River has to be increased by rehabilitating a currently abandoned raw water intake. Next to the construction works for the new water treatment plant (Goudel IV). Additions will be made to the existing pre-treatment facility and pumping station including a new disinfection contact chamber for disinfection and pH correction. A new chemical building new high lift pumps and a new emergency generator.The drinking water transmission and distribution network has been expanded many times and has a somewhat erratic layout. A distinction can be made between transmission pipes and distribution pipes. In general  water is transported through transmission pipes to reservoirs spread through the city from the pumping stations at the treatment plants.Distribution pipes are connected to the reservoirs from where drinking water is supplied to customers. Especially in the older parts distribution pipes are also directly connected to the transmission pipes. The existing network will be improved and extended with additional transmission pipes  reservoirs  distribution pipes  individual connections and stand pipes.,"Witteveen+Bos Raadgevende Ingenieurs B.V.,SGI Ingénierie SA,DENYS,Societe De Patrimoine des Eaux Du Niger,Ministere Du Plan,Invest International,Invest International",,NE,14021,Water supply - large systems,,2,2013-06-30T00:00:00Z,297850,EUR,,,,2013,6,30
1975,NL-KVK-83517626-ORIO10NE21,Invest International,Extension of the existing water supply system in Niamey (Development Phase),The capacity of the raw water intake in the Niger River has to be increased by rehabilitating a currently abandoned raw water intake. Next to the construction works for the new water treatment plant (Goudel IV). Additions will be made to the existing pre-treatment facility and pumping station including a new disinfection contact chamber for disinfection and pH correction. A new chemical building new high lift pumps and a new emergency generator.The drinking water transmission and distribution network has been expanded many times and has a somewhat erratic layout. A distinction can be made between transmission pipes and distribution pipes. In general  water is transported through transmission pipes to reservoirs spread through the city from the pumping stations at the treatment plants.Distribution pipes are connected to the reservoirs from where drinking water is supplied to customers. Especially in the older parts distribution pipes are also directly connected to the transmission pipes. The existing network will be improved and extended with additional transmission pipes  reservoirs  distribution pipes  individual connections and stand pipes.,"Witteveen+Bos Raadgevende Ingenieurs B.V.,SGI Ingénierie SA,DENYS,Societe De Patrimoine des Eaux Du Niger,Ministere Du Plan,Invest International,Invest International",,NE,14021,Water supply - large systems,,3,2013-03-04T00:00:00Z,120507,EUR,,,,2013,3,4
1976,NL-KVK-83517626-ORIO10NE21,Invest International,Extension of the existing water supply system in Niamey (Development Phase),The capacity of the raw water intake in the Niger River has to be increased by rehabilitating a currently abandoned raw water intake. Next to the construction works for the new water treatment plant (Goudel IV). Additions will be made to the existing pre-treatment facility and pumping station including a new disinfection contact chamber for disinfection and pH correction. A new chemical building new high lift pumps and a new emergency generator.The drinking water transmission and distribution network has been expanded many times and has a somewhat erratic layout. A distinction can be made between transmission pipes and distribution pipes. In general  water is transported through transmission pipes to reservoirs spread through the city from the pumping stations at the treatment plants.Distribution pipes are connected to the reservoirs from where drinking water is supplied to customers. Especially in the older parts distribution pipes are also directly connected to the transmission pipes. The existing network will be improved and extended with additional transmission pipes  reservoirs  distribution pipes  individual connections and stand pipes.,"Witteveen+Bos Raadgevende Ingenieurs B.V.,SGI Ingénierie SA,DENYS,Societe De Patrimoine des Eaux Du Niger,Ministere Du Plan,Invest International,Invest International",,NE,14021,Water supply - large systems,,2,2011-09-12T00:00:00Z,421775,EUR,,,,2011,9,12
1977,NL-KVK-83517626-ORIO10NE21,Invest International,Extension of the existing water supply system in Niamey (Development Phase),The capacity of the raw water intake in the Niger River has to be increased by rehabilitating a currently abandoned raw water intake. Next to the construction works for the new water treatment plant (Goudel IV). Additions will be made to the existing pre-treatment facility and pumping station including a new disinfection contact chamber for disinfection and pH correction. A new chemical building new high lift pumps and a new emergency generator.The drinking water transmission and distribution network has been expanded many times and has a somewhat erratic layout. A distinction can be made between transmission pipes and distribution pipes. In general  water is transported through transmission pipes to reservoirs spread through the city from the pumping stations at the treatment plants.Distribution pipes are connected to the reservoirs from where drinking water is supplied to customers. Especially in the older parts distribution pipes are also directly connected to the transmission pipes. The existing network will be improved and extended with additional transmission pipes  reservoirs  distribution pipes  individual connections and stand pipes.,"Witteveen+Bos Raadgevende Ingenieurs B.V.,SGI Ingénierie SA,DENYS,Societe De Patrimoine des Eaux Du Niger,Ministere Du Plan,Invest International,Invest International",,NE,14021,Water supply - large systems,,3,2011-11-04T00:00:00Z,200845,EUR,,,,2011,11,4
1990,XM-DAC-41122-Niger-3180/A0/06/883/001,UNICEF,3.1 IMPROVED ACCESS TO SAFE DRINKG WATER,"Output 3.1: By 2018\, communities\, schools and health facilities in the most-at-risk geographic areas have improved\, sustainable\raccess to safe drinking water and sanitation\, which contributes to Sanitation\, Wash In Schools And Ecd Centres\, Wash â€“ General\, Water\, Water Supply. UNICEF aims to achieve this through Systems Strengthening And Institution Building. This contributes to the following Country Programme result: Outcome 3: By 2018\, children\, in particular the most vulnerable\, have access to improved water sources and adequate sanitation\rfacilities in schools\, health centers and communities to prevent diseases\, including in emergency situations.","CABINET DU PREMIER,French Committee for UNICEF,UNICEF,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,Swedish Committee for UNICEF,Global - Water Sanitation & Hygiene,United States Fund for UNICEF,DR P PF PE AGADEZ,Japan,UNICEF Regular Resources,Germany,UNICEF,European Commission/EC,UNOCHA,The United Kingdom",UNICEF Niger,NE,14021,Water supply - large systems,"Sanitation - eliminating open defecation in peri-urban and urban communities,Water supply - institutions (schools\, health care facilities\, ECD centres),Water supply - safety/quality/treatment (including household treatment and safe storage),Water supply - rural communities service delivery,Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Water Sanitation Hygiene,Water Sanitation Hygiene,Water Sanitation Hygiene,Clean Water and Sanitation,Water Sanitation Hygiene",2,2016-12-31T00:00:00Z,177479,USD,,,UNICEF (FOR GR ALLOCATIONS ONLY),2016,12,31
1991,XM-DAC-41122-Niger-3180/A0/06/883/001,UNICEF,3.1 IMPROVED ACCESS TO SAFE DRINKG WATER,"Output 3.1: By 2018\, communities\, schools and health facilities in the most-at-risk geographic areas have improved\, sustainable\raccess to safe drinking water and sanitation\, which contributes to Sanitation\, Wash In Schools And Ecd Centres\, Wash â€“ General\, Water\, Water Supply. UNICEF aims to achieve this through Systems Strengthening And Institution Building. This contributes to the following Country Programme result: Outcome 3: By 2018\, children\, in particular the most vulnerable\, have access to improved water sources and adequate sanitation\rfacilities in schools\, health centers and communities to prevent diseases\, including in emergency situations.","CABINET DU PREMIER,French Committee for UNICEF,UNICEF,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,Swedish Committee for UNICEF,Global - Water Sanitation & Hygiene,United States Fund for UNICEF,DR P PF PE AGADEZ,Japan,UNICEF Regular Resources,Germany,UNICEF,European Commission/EC,UNOCHA,The United Kingdom",UNICEF Niger,NE,14021,Water supply - large systems,"Sanitation - eliminating open defecation in peri-urban and urban communities,Water supply - institutions (schools\, health care facilities\, ECD centres),Water supply - safety/quality/treatment (including household treatment and safe storage),Water supply - rural communities service delivery,Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Water Sanitation Hygiene,Water Sanitation Hygiene,Water Sanitation Hygiene,Clean Water and Sanitation,Water Sanitation Hygiene",2,2015-12-31T00:00:00Z,-94,USD,,,United States Fund for UNICEF,2015,12,31
1992,XM-DAC-41122-Niger-3180/A0/06/883/001,UNICEF,3.1 IMPROVED ACCESS TO SAFE DRINKG WATER,"Output 3.1: By 2018\, communities\, schools and health facilities in the most-at-risk geographic areas have improved\, sustainable\raccess to safe drinking water and sanitation\, which contributes to Sanitation\, Wash In Schools And Ecd Centres\, Wash â€“ General\, Water\, Water Supply. UNICEF aims to achieve this through Systems Strengthening And Institution Building. This contributes to the following Country Programme result: Outcome 3: By 2018\, children\, in particular the most vulnerable\, have access to improved water sources and adequate sanitation\rfacilities in schools\, health centers and communities to prevent diseases\, including in emergency situations.","CABINET DU PREMIER,French Committee for UNICEF,UNICEF,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,Swedish Committee for UNICEF,Global - Water Sanitation & Hygiene,United States Fund for UNICEF,DR P PF PE AGADEZ,Japan,UNICEF Regular Resources,Germany,UNICEF,European Commission/EC,UNOCHA,The United Kingdom",UNICEF Niger,NE,14021,Water supply - large systems,"Sanitation - eliminating open defecation in peri-urban and urban communities,Water supply - institutions (schools\, health care facilities\, ECD centres),Water supply - safety/quality/treatment (including household treatment and safe storage),Water supply - rural communities service delivery,Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Water Sanitation Hygiene,Water Sanitation Hygiene,Water Sanitation Hygiene,Clean Water and Sanitation,Water Sanitation Hygiene",2,2016-12-31T00:00:00Z,320984,USD,,,Global - Water Sanitation & Hygiene,2016,12,31
1993,XM-DAC-41122-Niger-3180/A0/06/883/001,UNICEF,3.1 IMPROVED ACCESS TO SAFE DRINKG WATER,"Output 3.1: By 2018\, communities\, schools and health facilities in the most-at-risk geographic areas have improved\, sustainable\raccess to safe drinking water and sanitation\, which contributes to Sanitation\, Wash In Schools And Ecd Centres\, Wash â€“ General\, Water\, Water Supply. UNICEF aims to achieve this through Systems Strengthening And Institution Building. This contributes to the following Country Programme result: Outcome 3: By 2018\, children\, in particular the most vulnerable\, have access to improved water sources and adequate sanitation\rfacilities in schools\, health centers and communities to prevent diseases\, including in emergency situations.","CABINET DU PREMIER,French Committee for UNICEF,UNICEF,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,Swedish Committee for UNICEF,Global - Water Sanitation & Hygiene,United States Fund for UNICEF,DR P PF PE AGADEZ,Japan,UNICEF Regular Resources,Germany,UNICEF,European Commission/EC,UNOCHA,The United Kingdom",UNICEF Niger,NE,14021,Water supply - large systems,"Sanitation - eliminating open defecation in peri-urban and urban communities,Water supply - institutions (schools\, health care facilities\, ECD centres),Water supply - safety/quality/treatment (including household treatment and safe storage),Water supply - rural communities service delivery,Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Water Sanitation Hygiene,Water Sanitation Hygiene,Water Sanitation Hygiene,Clean Water and Sanitation,Water Sanitation Hygiene",2,2015-12-31T00:00:00Z,40092,USD,,,The United Kingdom,2015,12,31
1994,XM-DAC-41122-Niger-3180/A0/06/883/001,UNICEF,3.1 IMPROVED ACCESS TO SAFE DRINKG WATER,"Output 3.1: By 2018\, communities\, schools and health facilities in the most-at-risk geographic areas have improved\, sustainable\raccess to safe drinking water and sanitation\, which contributes to Sanitation\, Wash In Schools And Ecd Centres\, Wash â€“ General\, Water\, Water Supply. UNICEF aims to achieve this through Systems Strengthening And Institution Building. This contributes to the following Country Programme result: Outcome 3: By 2018\, children\, in particular the most vulnerable\, have access to improved water sources and adequate sanitation\rfacilities in schools\, health centers and communities to prevent diseases\, including in emergency situations.","CABINET DU PREMIER,French Committee for UNICEF,UNICEF,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,Swedish Committee for UNICEF,Global - Water Sanitation & Hygiene,United States Fund for UNICEF,DR P PF PE AGADEZ,Japan,UNICEF Regular Resources,Germany,UNICEF,European Commission/EC,UNOCHA,The United Kingdom",UNICEF Niger,NE,14021,Water supply - large systems,"Sanitation - eliminating open defecation in peri-urban and urban communities,Water supply - institutions (schools\, health care facilities\, ECD centres),Water supply - safety/quality/treatment (including household treatment and safe storage),Water supply - rural communities service delivery,Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Water Sanitation Hygiene,Water Sanitation Hygiene,Water Sanitation Hygiene,Clean Water and Sanitation,Water Sanitation Hygiene",2,2019-12-31T00:00:00Z,-1,USD,,,Germany,2019,12,31
1995,XM-DAC-41122-Niger-3180/A0/06/883/001,UNICEF,3.1 IMPROVED ACCESS TO SAFE DRINKG WATER,"Output 3.1: By 2018\, communities\, schools and health facilities in the most-at-risk geographic areas have improved\, sustainable\raccess to safe drinking water and sanitation\, which contributes to Sanitation\, Wash In Schools And Ecd Centres\, Wash â€“ General\, Water\, Water Supply. UNICEF aims to achieve this through Systems Strengthening And Institution Building. This contributes to the following Country Programme result: Outcome 3: By 2018\, children\, in particular the most vulnerable\, have access to improved water sources and adequate sanitation\rfacilities in schools\, health centers and communities to prevent diseases\, including in emergency situations.","CABINET DU PREMIER,French Committee for UNICEF,UNICEF,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,Swedish Committee for UNICEF,Global - Water Sanitation & Hygiene,United States Fund for UNICEF,DR P PF PE AGADEZ,Japan,UNICEF Regular Resources,Germany,UNICEF,European Commission/EC,UNOCHA,The United Kingdom",UNICEF Niger,NE,14021,Water supply - large systems,"Sanitation - eliminating open defecation in peri-urban and urban communities,Water supply - institutions (schools\, health care facilities\, ECD centres),Water supply - safety/quality/treatment (including household treatment and safe storage),Water supply - rural communities service delivery,Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Water Sanitation Hygiene,Water Sanitation Hygiene,Water Sanitation Hygiene,Clean Water and Sanitation,Water Sanitation Hygiene",2,2016-12-31T00:00:00Z,249319,USD,,,European Commission/EC,2016,12,31
1996,XM-DAC-41122-Niger-3180/A0/06/883/001,UNICEF,3.1 IMPROVED ACCESS TO SAFE DRINKG WATER,"Output 3.1: By 2018\, communities\, schools and health facilities in the most-at-risk geographic areas have improved\, sustainable\raccess to safe drinking water and sanitation\, which contributes to Sanitation\, Wash In Schools And Ecd Centres\, Wash â€“ General\, Water\, Water Supply. UNICEF aims to achieve this through Systems Strengthening And Institution Building. This contributes to the following Country Programme result: Outcome 3: By 2018\, children\, in particular the most vulnerable\, have access to improved water sources and adequate sanitation\rfacilities in schools\, health centers and communities to prevent diseases\, including in emergency situations.","CABINET DU PREMIER,French Committee for UNICEF,UNICEF,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,Swedish Committee for UNICEF,Global - Water Sanitation & Hygiene,United States Fund for UNICEF,DR P PF PE AGADEZ,Japan,UNICEF Regular Resources,Germany,UNICEF,European Commission/EC,UNOCHA,The United Kingdom",UNICEF Niger,NE,14021,Water supply - large systems,"Sanitation - eliminating open defecation in peri-urban and urban communities,Water supply - institutions (schools\, health care facilities\, ECD centres),Water supply - safety/quality/treatment (including household treatment and safe storage),Water supply - rural communities service delivery,Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Water Sanitation Hygiene,Water Sanitation Hygiene,Water Sanitation Hygiene,Clean Water and Sanitation,Water Sanitation Hygiene",2,2015-12-31T00:00:00Z,462604,USD,,,French Committee for UNICEF,2015,12,31
1997,XM-DAC-41122-Niger-3180/A0/06/883/001,UNICEF,3.1 IMPROVED ACCESS TO SAFE DRINKG WATER,"Output 3.1: By 2018\, communities\, schools and health facilities in the most-at-risk geographic areas have improved\, sustainable\raccess to safe drinking water and sanitation\, which contributes to Sanitation\, Wash In Schools And Ecd Centres\, Wash â€“ General\, Water\, Water Supply. UNICEF aims to achieve this through Systems Strengthening And Institution Building. This contributes to the following Country Programme result: Outcome 3: By 2018\, children\, in particular the most vulnerable\, have access to improved water sources and adequate sanitation\rfacilities in schools\, health centers and communities to prevent diseases\, including in emergency situations.","CABINET DU PREMIER,French Committee for UNICEF,UNICEF,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,Swedish Committee for UNICEF,Global - Water Sanitation & Hygiene,United States Fund for UNICEF,DR P PF PE AGADEZ,Japan,UNICEF Regular Resources,Germany,UNICEF,European Commission/EC,UNOCHA,The United Kingdom",UNICEF Niger,NE,14021,Water supply - large systems,"Sanitation - eliminating open defecation in peri-urban and urban communities,Water supply - institutions (schools\, health care facilities\, ECD centres),Water supply - safety/quality/treatment (including household treatment and safe storage),Water supply - rural communities service delivery,Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Water Sanitation Hygiene,Water Sanitation Hygiene,Water Sanitation Hygiene,Clean Water and Sanitation,Water Sanitation Hygiene",2,2018-12-31T00:00:00Z,13,USD,,,French Committee for UNICEF,2018,12,31
1998,XM-DAC-41122-Niger-3180/A0/06/883/001,UNICEF,3.1 IMPROVED ACCESS TO SAFE DRINKG WATER,"Output 3.1: By 2018\, communities\, schools and health facilities in the most-at-risk geographic areas have improved\, sustainable\raccess to safe drinking water and sanitation\, which contributes to Sanitation\, Wash In Schools And Ecd Centres\, Wash â€“ General\, Water\, Water Supply. UNICEF aims to achieve this through Systems Strengthening And Institution Building. This contributes to the following Country Programme result: Outcome 3: By 2018\, children\, in particular the most vulnerable\, have access to improved water sources and adequate sanitation\rfacilities in schools\, health centers and communities to prevent diseases\, including in emergency situations.","CABINET DU PREMIER,French Committee for UNICEF,UNICEF,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,Swedish Committee for UNICEF,Global - Water Sanitation & Hygiene,United States Fund for UNICEF,DR P PF PE AGADEZ,Japan,UNICEF Regular Resources,Germany,UNICEF,European Commission/EC,UNOCHA,The United Kingdom",UNICEF Niger,NE,14021,Water supply - large systems,"Sanitation - eliminating open defecation in peri-urban and urban communities,Water supply - institutions (schools\, health care facilities\, ECD centres),Water supply - safety/quality/treatment (including household treatment and safe storage),Water supply - rural communities service delivery,Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Water Sanitation Hygiene,Water Sanitation Hygiene,Water Sanitation Hygiene,Clean Water and Sanitation,Water Sanitation Hygiene",2,2014-12-31T00:00:00Z,171835,USD,,,French Committee for UNICEF,2014,12,31
1999,XM-DAC-41122-Niger-3180/A0/06/883/001,UNICEF,3.1 IMPROVED ACCESS TO SAFE DRINKG WATER,"Output 3.1: By 2018\, communities\, schools and health facilities in the most-at-risk geographic areas have improved\, sustainable\raccess to safe drinking water and sanitation\, which contributes to Sanitation\, Wash In Schools And Ecd Centres\, Wash â€“ General\, Water\, Water Supply. UNICEF aims to achieve this through Systems Strengthening And Institution Building. This contributes to the following Country Programme result: Outcome 3: By 2018\, children\, in particular the most vulnerable\, have access to improved water sources and adequate sanitation\rfacilities in schools\, health centers and communities to prevent diseases\, including in emergency situations.","CABINET DU PREMIER,French Committee for UNICEF,UNICEF,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,Swedish Committee for UNICEF,Global - Water Sanitation & Hygiene,United States Fund for UNICEF,DR P PF PE AGADEZ,Japan,UNICEF Regular Resources,Germany,UNICEF,European Commission/EC,UNOCHA,The United Kingdom",UNICEF Niger,NE,14021,Water supply - large systems,"Sanitation - eliminating open defecation in peri-urban and urban communities,Water supply - institutions (schools\, health care facilities\, ECD centres),Water supply - safety/quality/treatment (including household treatment and safe storage),Water supply - rural communities service delivery,Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Water Sanitation Hygiene,Water Sanitation Hygiene,Water Sanitation Hygiene,Clean Water and Sanitation,Water Sanitation Hygiene",2,2018-12-31T00:00:00Z,3316,USD,,,Swedish Committee for UNICEF,2018,12,31
2000,XM-DAC-41122-Niger-3180/A0/06/883/001,UNICEF,3.1 IMPROVED ACCESS TO SAFE DRINKG WATER,"Output 3.1: By 2018\, communities\, schools and health facilities in the most-at-risk geographic areas have improved\, sustainable\raccess to safe drinking water and sanitation\, which contributes to Sanitation\, Wash In Schools And Ecd Centres\, Wash â€“ General\, Water\, Water Supply. UNICEF aims to achieve this through Systems Strengthening And Institution Building. This contributes to the following Country Programme result: Outcome 3: By 2018\, children\, in particular the most vulnerable\, have access to improved water sources and adequate sanitation\rfacilities in schools\, health centers and communities to prevent diseases\, including in emergency situations.","CABINET DU PREMIER,French Committee for UNICEF,UNICEF,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,Swedish Committee for UNICEF,Global - Water Sanitation & Hygiene,United States Fund for UNICEF,DR P PF PE AGADEZ,Japan,UNICEF Regular Resources,Germany,UNICEF,European Commission/EC,UNOCHA,The United Kingdom",UNICEF Niger,NE,14021,Water supply - large systems,"Sanitation - eliminating open defecation in peri-urban and urban communities,Water supply - institutions (schools\, health care facilities\, ECD centres),Water supply - safety/quality/treatment (including household treatment and safe storage),Water supply - rural communities service delivery,Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Water Sanitation Hygiene,Water Sanitation Hygiene,Water Sanitation Hygiene,Clean Water and Sanitation,Water Sanitation Hygiene",2,2018-12-31T00:00:00Z,217934,USD,,,Japan,2018,12,31
2001,XM-DAC-41122-Niger-3180/A0/06/883/001,UNICEF,3.1 IMPROVED ACCESS TO SAFE DRINKG WATER,"Output 3.1: By 2018\, communities\, schools and health facilities in the most-at-risk geographic areas have improved\, sustainable\raccess to safe drinking water and sanitation\, which contributes to Sanitation\, Wash In Schools And Ecd Centres\, Wash â€“ General\, Water\, Water Supply. UNICEF aims to achieve this through Systems Strengthening And Institution Building. This contributes to the following Country Programme result: Outcome 3: By 2018\, children\, in particular the most vulnerable\, have access to improved water sources and adequate sanitation\rfacilities in schools\, health centers and communities to prevent diseases\, including in emergency situations.","CABINET DU PREMIER,French Committee for UNICEF,UNICEF,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,Swedish Committee for UNICEF,Global - Water Sanitation & Hygiene,United States Fund for UNICEF,DR P PF PE AGADEZ,Japan,UNICEF Regular Resources,Germany,UNICEF,European Commission/EC,UNOCHA,The United Kingdom",UNICEF Niger,NE,14021,Water supply - large systems,"Sanitation - eliminating open defecation in peri-urban and urban communities,Water supply - institutions (schools\, health care facilities\, ECD centres),Water supply - safety/quality/treatment (including household treatment and safe storage),Water supply - rural communities service delivery,Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Public finance management (PFM),Water Sanitation Hygiene,Water Sanitation Hygiene,Water Sanitation Hygiene,Clean Water and Sanitation,Water Sanitation Hygiene",2,2017-12-31T00:00:00Z,49309,USD,,,UNICEF (FOR GR ALLOCATIONS ONLY),2017,12,31
